Vernier Format 2
mb50_ff_1.cmbl 04/03/2021 12:56:45 .
Latest
Time	Force
t	Force
s	N

0	-1.37329101563
0.002	-1.37329101563
0.004	-1.37329101563
0.006	-1.37329101563
0.008	-1.37329101563
0.01	-1.37329101563
0.012	-1.37329101563
0.014	-1.37329101563
0.016	-1.37329101563
0.018	-1.37329101563
0.02	-1.37329101563
0.022	-1.37329101563
0.024	-1.37329101563
0.026	-1.37329101563
0.028	-1.37329101563
0.03	-1.37329101563
0.032	-1.37329101563
0.034	-1.37329101563
0.036	-1.37329101563
0.038	-1.37329101563
0.04	-1.37329101563
0.042	-1.37329101563
0.044	-1.37329101563
0.046	-1.37329101563
0.048	-0.152587890625
0.05	-1.37329101563
0.052	-1.37329101563
0.054	-1.37329101563
0.056	-1.37329101563
0.058	-1.37329101563
0.06	-0.152587890625
0.062	-1.37329101563
0.064	-1.37329101563
0.066	-1.37329101563
0.068	-1.37329101563
0.07	-1.37329101563
0.072	-1.37329101563
0.074	-1.37329101563
0.076	-1.37329101563
0.078	-1.37329101563
0.08	-1.37329101563
0.082	-1.37329101563
0.084	-1.37329101563
0.086	-1.37329101563
0.088	-1.37329101563
0.09	-1.37329101563
0.092	-1.37329101563
0.094	-1.37329101563
0.096	-1.37329101563
0.098	-1.37329101563
0.1	-1.37329101563
0.102	-1.37329101563
0.104	-0.152587890625
0.106	-0.152587890625
0.108	-1.37329101563
0.11	-1.37329101563
0.112	-0.152587890625
0.114	-1.37329101563
0.116	-1.37329101563
0.118	-0.152587890625
0.12	-1.37329101563
0.122	-0.152587890625
0.124	-1.37329101563
0.126	-1.37329101563
0.128	-1.37329101563
0.13	-1.37329101563
0.132	-1.37329101563
0.134	-1.37329101563
0.136	-1.37329101563
0.138	-1.37329101563
0.14	-1.37329101563
0.142	-1.37329101563
0.144	-1.37329101563
0.146	-1.37329101563
0.148	-1.37329101563
0.15	-1.37329101563
0.152	-1.37329101563
0.154	-1.37329101563
0.156	-1.37329101563
0.158	-0.152587890625
0.16	-1.37329101563
0.162	-1.37329101563
0.164	-1.37329101563
0.166	-1.37329101563
0.168	-1.37329101563
0.17	-1.37329101563
0.172	-1.37329101563
0.174	-1.37329101563
0.176	-1.37329101563
0.178	-1.37329101563
0.18	-1.37329101563
0.182	-1.37329101563
0.184	-0.152587890625
0.186	-1.37329101563
0.188	-1.37329101563
0.19	-1.37329101563
0.192	-1.37329101563
0.194	-1.37329101563
0.196	-1.37329101563
0.198	-1.37329101563
0.2	-1.37329101563
0.202	-1.37329101563
0.204	-1.37329101563
0.206	-1.37329101563
0.208	-1.37329101563
0.21	-0.152587890625
0.212	-1.37329101563
0.214	-1.37329101563
0.216	-1.37329101563
0.218	-1.37329101563
0.22	-1.37329101563
0.222	-1.37329101563
0.224	-1.37329101563
0.226	-1.37329101563
0.228	-1.37329101563
0.23	-1.37329101563
0.232	-1.37329101563
0.234	-1.37329101563
0.236	-1.37329101563
0.238	-0.152587890625
0.24	-1.37329101563
0.242	-0.152587890625
0.244	-1.37329101563
0.246	-1.37329101563
0.248	-1.37329101563
0.25	-1.37329101563
0.252	-1.37329101563
0.254	-1.37329101563
0.256	-1.37329101563
0.258	-1.37329101563
0.26	-1.37329101563
0.262	-1.37329101563
0.264	-1.37329101563
0.266	-1.37329101563
0.268	-1.37329101563
0.27	-1.37329101563
0.272	-1.37329101563
0.274	-1.37329101563
0.276	-1.37329101563
0.278	-1.37329101563
0.28	-1.37329101563
0.282	-1.37329101563
0.284	-1.37329101563
0.286	-1.37329101563
0.288	-1.37329101563
0.29	-1.37329101563
0.292	-1.37329101563
0.294	-1.37329101563
0.296	-1.37329101563
0.298	-0.152587890625
0.3	-1.37329101563
0.302	-0.152587890625
0.304	-0.152587890625
0.306	-1.37329101563
0.308	-0.152587890625
0.31	-1.37329101563
0.312	-1.37329101563
0.314	-1.37329101563
0.316	-1.37329101563
0.318	-0.152587890625
0.32	-1.37329101563
0.322	-1.37329101563
