Vernier Format 2
mb500_2.cmbl 27/02/2021 12:12:53 .
Latest
Time	Force
t	Force
s	N

0	-0.457763671875
0.002	-0.457763671875
0.004	-0.457763671875
0.006	0.762939453125
0.008	0.762939453125
0.01	-0.457763671875
0.012	-0.457763671875
0.014	-0.457763671875
0.016	-0.457763671875
0.018	-0.457763671875
0.02	-0.457763671875
0.022	-0.457763671875
0.024	-0.457763671875
0.026	0.762939453125
0.028	0.762939453125
0.03	-0.457763671875
0.032	-0.457763671875
0.034	-0.457763671875
0.036	-0.457763671875
0.038	-0.457763671875
0.04	-0.457763671875
0.042	-0.457763671875
0.044	-0.457763671875
0.046	-0.457763671875
0.048	0.762939453125
0.05	-0.457763671875
0.052	-0.457763671875
0.054	-0.457763671875
0.056	-0.457763671875
0.058	-0.457763671875
0.06	-0.457763671875
0.062	-0.457763671875
0.064	-0.457763671875
0.066	-0.457763671875
0.068	-0.457763671875
0.07	-0.457763671875
0.072	-0.457763671875
0.074	-1.67846679688
0.076	-1.67846679688
0.078	-0.457763671875
0.08	-0.457763671875
0.082	-0.457763671875
0.084	-0.457763671875
0.086	-0.457763671875
0.088	0.762939453125
0.09	-0.457763671875
0.092	-0.457763671875
0.094	-1.67846679688
0.096	-1.67846679688
0.098	-1.67846679688
0.1	-1.67846679688
0.102	-0.457763671875
0.104	0.762939453125
0.106	0.762939453125
0.108	0.762939453125
0.11	-0.457763671875
0.112	-0.457763671875
0.114	-0.457763671875
0.116	-1.67846679688
0.118	-0.457763671875
0.12	-0.457763671875
0.122	-0.457763671875
0.124	-0.457763671875
0.126	0.762939453125
0.128	0.762939453125
0.13	-0.457763671875
0.132	-0.457763671875
0.134	-0.457763671875
0.136	-1.67846679688
0.138	-1.67846679688
0.14	-1.67846679688
0.142	-0.457763671875
0.144	-0.457763671875
0.146	-0.457763671875
0.148	-0.457763671875
0.15	-0.457763671875
0.152	-0.457763671875
0.154	-0.457763671875
0.156	-1.67846679688
0.158	-0.457763671875
0.16	-0.457763671875
0.162	-0.457763671875
0.164	-0.457763671875
0.166	-0.457763671875
0.168	0.762939453125
0.17	0.762939453125
0.172	-0.457763671875
0.174	-1.67846679688
0.176	-1.67846679688
0.178	-1.67846679688
0.18	-0.457763671875
0.182	-0.457763671875
0.184	-0.457763671875
0.186	-0.457763671875
0.188	0.762939453125
0.19	0.762939453125
0.192	-0.457763671875
0.194	-0.457763671875
0.196	-1.67846679688
0.198	-0.457763671875
0.2	-0.457763671875
0.202	-0.457763671875
0.204	0.762939453125
0.206	-0.457763671875
0.208	0.762939453125
0.21	-0.457763671875
0.212	-0.457763671875
0.214	-0.457763671875
0.216	-1.67846679688
0.218	-0.457763671875
0.22	-0.457763671875
0.222	-0.457763671875
0.224	-0.457763671875
0.226	-0.457763671875
0.228	0.762939453125
0.23	-0.457763671875
0.232	-0.457763671875
0.234	-0.457763671875
0.236	-1.67846679688
0.238	-0.457763671875
0.24	-0.457763671875
0.242	-0.457763671875
0.244	-0.457763671875
0.246	-0.457763671875
0.248	0.762939453125
0.25	0.762939453125
0.252	-0.457763671875
0.254	-0.457763671875
0.256	-0.457763671875
0.258	-0.457763671875
0.26	-1.67846679688
0.262	-0.457763671875
0.264	-0.457763671875
0.266	0.762939453125
0.268	0.762939453125
0.27	-0.457763671875
0.272	-0.457763671875
0.274	-0.457763671875
0.276	-0.457763671875
0.278	-1.67846679688
0.28	-0.457763671875
0.282	-0.457763671875
0.284	0.762939453125
0.286	-0.457763671875
0.288	-0.457763671875
0.29	0.762939453125
0.292	-0.457763671875
0.294	-0.457763671875
0.296	-1.67846679688
0.298	-0.457763671875
0.3	-0.457763671875
0.302	-0.457763671875
0.304	-0.457763671875
0.306	-0.457763671875
0.308	0.762939453125
0.31	0.762939453125
0.312	-0.457763671875
0.314	-0.457763671875
0.316	-1.67846679688
0.318	-1.67846679688
0.32	-0.457763671875
0.322	-0.457763671875
0.324	-0.457763671875
0.326	-0.457763671875
